material_name,material_category,manufacturer_name,gwp_value,gwp_unit,declared_unit,life_cycle_stages,epd_programme_operator,year_published,valid_until,country_of_origin,source_filename,extraction_confidence,notes
"MS Tubes, Pipes & Hollow Section",Steel & Metal,APL APOLLO BUILDING PRODUCTS LIMITED,2440.0,kg CO2 eq/ton,1 ton,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0026934_001.pdf,HIGH,GWP value 2.44E+03 converted from kg CO2 eq. per 1 ton declared unit.
GP Tubes & Pipe,Steel & Metal,APL APOLLO BUILDING PRODUCTS LIMITED,2640.0,kg CO2 eq/ton,1 ton,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0026935_001.pdf,HIGH,GWP value 2.64E+03 converted to 2640.0. Declared unit is 1 ton.
L’LIOS 580-600 Wp N-Type Topcon 16BB Bifacial (Glass to Glass) Solar Photovoltaic Module,Other,Rayzon Solar Limited,0.345,kg CO2 eq/Wp,1 Wp,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0027273_002.pdf,HIGH,"The GWP value for A1-A3 is 0.345 kg CO2 eq/Wp, derived from the LCA results for the representative 600 Wp module."
Elastomeric Bearing Type-B,Steel & Metal,mageba bridge products pvt. ltd.,3.22,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0027452_001.pdf,HIGH,"GWP value taken from Table 6, Climate change – total, A1-A3 column."
ZymeFlow Rezyd-HP Z71,Other,CR3 Group,3.31,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,Thailand,EPD-IES-0027515_001.pdf,HIGH,The GWP value represents the total (Upstream + Core + Downstream) as reported in the environmental performance table.
ZymeFlow Super Tank Zyme Z21,Other,CR3 Group,2.62,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,Thailand,EPD-IES-0027516_001.pdf,HIGH,The GWP value represents the total for the product including packaging as per the environmental performance table.
ZymeFlow Zyme-Ox plus Z50,Other,CR3 Group,0.986,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2025,2030,Thailand,EPD-IES-0027517_001.pdf,HIGH,The GWP value is taken from the 'TOTAL' row under 'Global warming potential (GWP)' in the environmental performance table.
UCW U-8000,Aluminium,GLASS WALL SYSTEMS INDIA LIMITED,73.5,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2026,2031,India,EPD-IES-0027634_001.pdf,HIGH,GWP value taken from the Climate change row for A1-A3 (7.35E+01). The declared unit is 1m2.
ER 1681,Other,SEPR India,1890.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0027945_001.pdf,HIGH,"GWP value extracted from the Climate change potential (GWP) - total row for A1-A3, 1.89E+03 equals 1890.0."
ER 1685,Other,SEPR India,2150.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0027946_001.pdf,HIGH,"GWP value extracted from the Climate change potential (GWP) - total row for A1-A3. Value 2,15E+03 converted to 2150.0."
ER 1699,Other,SEPR India,2230.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0027947_001.pdf,HIGH,"GWP value extracted from the A1-A3 column for Climate change potential (GWP) - total. The value 2,23E+03 corresponds to 2230.0."
ER 1851,Other,SEPR India,4420.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0027948_001.pdf,HIGH,"GWP value extracted from the A1-A3 column for Climate change potential (GWP) - total. 4,42E+03 equals 4420.0."
Jargal®,Other,SEPR India,5270.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0027949_001.pdf,HIGH,"GWP value extracted from 'Climate change potential (GWP) - total' for A1-A3. Value 5,27E+03 converted to 5270.0."
Reflectasol® on Parsol®,Glass,Saint-Gobain India Private Limited – Glass,14.5,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028100_001.pdf,HIGH,The GWP value for A1-A3 was extracted from the provided data quality table (97% primary data share) which references the EPD-IES-0009222:001 for the base product.
Reflectasol® on Parsol®,Glass,Saint-Gobain India Private Limited – Glass,15.8,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028102_001.pdf,HIGH,GWP value for A1-A3 extracted from the EPD-IES-0028102:001 documentation for 5mm glass.
Reflectasol® on Parsol®,Glass,Saint-Gobain India Private Limited – Glass,24.5,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028103_001.pdf,HIGH,GWP value extracted from the EPD-IES-0009223:004 reference provided in the document for the primary data component.
Reflectasol® on Planilux®,Glass,Saint-Gobain India Private Limited – Glass,11.3,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028104_001.pdf,HIGH,GWP value for A1-A3 is 1.13E+01 kg CO2 eq/m2. The declared unit is 1 m2 of 3.5 mm glass.
Reflectasol® on Planilux®,Glass,Saint-Gobain India Private Limited – Glass,13.1,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028105_001.pdf,HIGH,GWP value for A1-A3 is 1.31E+01 kg CO2 eq/m2.
Reflectasol® on Planilux®,Glass,Saint-Gobain India Private Limited – Glass,17.0,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028107_001.pdf,HIGH,GWP value for A1-A3 is 1.70E+01 (17.0 kg CO2 eq/m2). The declared unit is 1 m2 of 5 mm glass.
PW-450 Punched Window,Aluminium,GLASS WALL SYSTEMS INDIA LIMITED,65.7,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028173_001.pdf,HIGH,GWP value represents Climate change (total) for A1-A3. Value 6.57E+01 converted to 65.7.
STORE FRONT SF-102,Aluminium,GLASS WALL SYSTEMS INDIA LIMITED,89.3,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2026,2031,India,EPD-IES-0028218_001.pdf,HIGH,GWP value 8.93E+01 converted to 89.3. Declared unit is 1m2.
Penebiotech Green M+,Other,Penetron Products Private Limited,0.000469,kg CO2 eq/g,1 g,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028226_002.pdf,HIGH,GWP-GHG value from Table 7 used as it represents the total GWP impact for the declared unit.
Penebiotech Trapbom,Other,Penetron Products Private Limited,0.000397,kg CO2 eq/g,1 g,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028227_002.pdf,HIGH,"The GWP-GHG value for A1-A3 is calculated as the sum of Upstream (1.61E-04) and Core (1.67E-04) modules, totaling 3.28E-04 kg CO2 eq/g. However, the table provides a TOTAL row for GWP-GHG as 3.97E-04 kg CO2 eq/g which includes Downstream. The value 3.97E-04 represents the full life cycle."
Penebiotech WB Clean,Other,Penetron Products Private Limited,0.000467,kg CO2 eq/g,1 g,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028228_002.pdf,HIGH,GWP-GHG value from Table 7 used as it represents the total GWP-GHG impact for the declared unit of 1 gram.
WW-9500 Window Wall,Aluminium,Glass Wall Systems India Limited,91.1,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028246_001.pdf,HIGH,GWP value taken from Climate change indicator for A1-A3 (9.11E+01).
Unitized Curtain Wall- U-140,Aluminium,Glass Wall Systems India Limited,72.7,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2026,2031,India,EPD-IES-0028248_001.pdf,HIGH,GWP value extracted from the Climate change row for A1-A3 (7.27E+01).
Colormaxx 4 mm,Glass,Saint-Gobain India Pvt. Ltd,16.1,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028269_001.pdf,HIGH,GWP value for A1-A3 is 1.61E+01 kg CO2 eq/m2. Declared unit is 1 m2 of Colormaxx 4mm.
Colormaxx 5mm,Glass,Saint-Gobain India Pvt. Ltd,19.5,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028283_001.pdf,HIGH,GWP value for A1-A3 is 1.95E+01 kg CO2 eq/m2.
Colormaxx 6mm,Glass,Saint-Gobain India Pvt. Ltd,22.7,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028285_001.pdf,HIGH,GWP value for A1-A3 is 2.27E+01 kg CO2 eq/m2. Declared unit is 1 m2 of 6mm glass.
Aluminium Billet Continuum,Aluminium,CMR NLM ECO ALUMINIUM PRIVATE LIMITED,1490.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028287_001.pdf,HIGH,GWP value 1.49E+03 converted from 1 tonne declared unit.
Colormaxx Dura 4 mm,Glass,Saint-Gobain India Pvt. Ltd,21.9,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028303_001.pdf,HIGH,GWP value for A1-A3 is 2.19E+01 kg CO2 eq/m2. Declared unit is 1 m2.
Colormaxx Dura 5 mm,Glass,Saint-Gobain India Pvt. Ltd,24.3,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028304_001.pdf,HIGH,GWP value extracted from the Climate Change - total row for A1-A3. The value 2.43E+01 corresponds to 24.3.
Colormaxx Dura 6 mm,Glass,Saint-Gobain India Pvt. Ltd,29.4,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028305_001.pdf,HIGH,GWP value for A1-A3 is 2.94E+01 kg CO2 eq/m2. Declared unit is 1 m2.
Pile Gripper,Steel & Metal,IRM Offshore and Marine Engineers Pvt Ltd,10600,kg CO2 eq,1 IRM Pile Gripper,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028340_002.pdf,HIGH,GWP value 1.06E+04 converted to 10600. Declared unit is one unit of the product.
N-TOPCon Bifacial G12R,Other,SAATVIK GREEN ENERGY LIMITED,0.379,kg CO2 eq/Wp,1 Wp,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028392_003.pdf,HIGH,The GWP value is provided for 1 Wp of the product. The value 3.79E-01 corresponds to 0.379 kg CO2 eq.
75 KVA Oil filled Transformer 10395C,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,2235.0,kg CO2 eq,1 unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0028470_006.pdf,HIGH,"GWP value calculated as sum of A1 (2.06E+03), A2 (7.14E+01), and A3 (1.15E+02)."
150 KVA Oil filled Transformer 8175I,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,3312.0,kg CO2 eq,1 unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0028471_005.pdf,HIGH,"GWP value for A1-A3 is the sum of 3.16E+03 (A1) + 1.94E+01 (A2) + 1.32E+02 (A3) = 3311.4, rounded to 3312.0."
150 KVA Oil filled Transformer 10396E,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,4945.0,kg CO2 eq,1 unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0028472_005.pdf,HIGH,"GWP value calculated as sum of A1 (4.31E+03), A2 (1.17E+02), and A3 (5.15E+02)."
400 KVA Oil filled Transformer 08174E,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,8199.0,kg CO2 eq/product,1 product,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0028473_005.pdf,HIGH,"GWP value for A1-A3 calculated as sum of A1 (7.86E+03), A2 (9.80E+01), and A3 (2.41E+02)."
500 KVA Oil filled Transformer 08178E,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,9147.0,kg CO2 eq,1 unit,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0028474_005.pdf,HIGH,"GWP value calculated as sum of A1 (8780), A2 (128), and A3 (241) from the results table."
Ikkita Chair,Other,Alankaram,7.74,kg CO2 eq/piece,1 piece,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028618_001.pdf,HIGH,GWP value represents GWP-total for A1-A3. The declared unit is 1 piece of Ikkita Chair.
Mesa Dining Table,Timber & Wood,Alankaram,-72.3,kg CO2 eq/piece,1 piece,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028623_001.pdf,HIGH,GWP-total value for A1-A3 is -7.23E+01. Declared unit is 1 piece of Mesa Dining Table.
Steel Flange,Steel & Metal,ECHJAY FORGINGS PVT. LTD.,5470.0,kg CO2 eq/1000 kg,1000 kg,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028653_001.pdf,HIGH,GWP-total value for A1-A3 is 5.47E+03 kg CO2 eq per 1000 kg (1 MT).
Tapi Trans Dual Series (570-610 Wp),Other,Solex Energy Limited,0.417,kg CO2 eq/Wp,1 Wp,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028871_001.pdf,HIGH,The declared unit is 1 Wp. The GWP value for A1-A3 is 4.17E-01 kg CO2 eq/Wp.
Tapi-R Series (595-625 Wp),Other,Solex Energy Limited,0.416,kg CO2 eq/Wp,1 Wp,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028872_001.pdf,HIGH,The declared unit is 1 Wp. The GWP-total value for A1-A3 is 4.16E-01 kg CO2 eq/Wp.
Powder Coated Aluminium Extruded Profiles,Aluminium,Bhoruka Extrusions Private Limited,17400.0,kg CO2 eq/t,1 t,A1-A3,EPD International AB,2025,2031,India,EPD-IES-0028927_001.pdf,HIGH,GWP value 1.74E+04 kg CO2 eq per 1 Tonne converted to 17400.0. Declared unit is 1 Tonne.
400 KVA Oil filled Transformer 8493H,Other,Toshiba Transmission and Distribution Systems (India) PVT Ltd.,5808.0,kg CO2 eq,1 unit,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0028934_003.pdf,HIGH,"GWP value calculated as sum of A1 (5.44E+03), A2 (8.36E+01), and A3 (2.88E+02)."
Optigal (Metallic colour coated steel),Steel & Metal,ArcelorMittal Nippon Steel India Private Limited (AM/NS India),2110.0,kg CO2 eq/1000kg,1000 kg,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0029223_002.pdf,HIGH,The GWP value for A1-A3 is 2.11E+03 kg CO2 eq per 1000kg as per Table 4.
"Modular Chairs (Amaze MB, Astro MB, Comet, Contact MB, Evolve MB, Opus MB)",Other,Featherlite Products Private Limited,56.7,kg CO2 eq/piece,1 piece,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0029293_001.pdf,HIGH,GWP value extracted from the Climate change row for A1-A3. The value 5.67E+01 is equivalent to 56.7.
Portland Slag Cement and its variant (Concreel HD),Concrete & Cement,JSW Cement Limited,358.8,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0029294_001.pdf,HIGH,The declared unit is 1 tonne (1000 kg). The GWP value is 358.8 kg CO2 eq. per tonne.
6HI Cold Rolling Mill 1250MM@1100MPM,Steel & Metal,Yogi Ji Digi Private Limited,312000000.0,kg CO2 eq,1 unit,A1-C4,EPD International AB,2026,2031,India,EPD-IES-0029315_002.pdf,HIGH,The GWP value represents the total impact (3.12E+08 kg CO2 eq) for the entire product over its 30-year lifetime.
"Mechtrix Nishabd Strand – T15, T20 and T25",Other,Mechtrix Engineers LLP,12.2,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2024,2025,India,EPD-IES-0030221_002.pdf,HIGH,The GWP value represents the worst-case product (T25) as specified in the EPD. The declared unit is 1 m2.
"Building 3, ITC Green centre",Other,ITC Limited,408.0,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0030960_004.pdf,HIGH,GWP-total value for A1-A3 is 4.08E+02 kg CO2 eq/m2. Declared unit is 1 m2 of gross floor area.
Ordinary Portland Cement(OPC),Concrete & Cement,Ambuja Cements Limited,1010.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031048_001.pdf,HIGH,GWP-total value 1.01E+03 kg CO2 eq. per 1 tonne converted to 1010.0.
Ordinary Portland Cement,Concrete & Cement,ACC Limited,983.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031051_001.pdf,HIGH,GWP value 9.83E+02 converted to 983.0. Declared unit is 1 tonne.
Magnelis (Metallic Coated Sheet),Steel & Metal,ArcelorMittal Nippon Steel India Private Limited (AM/NS India),2460.0,kg CO2 eq/1000kg,1000 kg,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031097_002.pdf,HIGH,GWP value extracted from Table 4 for A1-A3 (2.46E+03). The declared unit is 1000kg.
Acsilo Cellulose Fiber Acoustic Spray,Insulation,Tranquil,0.352,kg CO2 eq/kg,1 kg,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031101_001.pdf,HIGH,GWP value extracted from Table 6 (Climate change – total) for A1-A3. Value 3.52E-01 converted to 0.352.
Mass Loaded Vinyl (MLV),Plastic & Polymer,Tranquil,8.35,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031137_001.pdf,HIGH,GWP value extracted from Table 6 for Climate change - total in A1-A3.
ELARA Fibreglass Panel,Insulation,Tranquil,6.84,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031140_004.pdf,HIGH,The declared unit is 1 m2. The GWP value is taken from the Climate change - total row for A1-A3.
ECOCORE PET Panel,Plastic & Polymer,Tranquil,7.23,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031141_001.pdf,HIGH,"GWP value taken from Table 6, Climate change - total, A1-A3 column."
Wooden Acoustic Panels - Woodline & Ecowood,Timber & Wood,Tranquil,6.39,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031145_001.pdf,HIGH,GWP value extracted from Table 7 (GWP-GHG indicator) for A1-A3.
Steel Wire,Steel & Metal,Usha Martin Limited,2590.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,Thailand,EPD-IES-0031177_001.pdf,HIGH,GWP value 2.59E+03 converted to 2590.0 per 1 tonne declared unit.
Steel rope,Steel & Metal,Usha Martin Limited,2930.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,Thailand,EPD-IES-0031180_001.pdf,HIGH,GWP value 2.93E+03 converted to 2930.0 per 1 tonne.
Steel Wire,Steel & Metal,Usha Martin Limited,3460.0,kg CO2 eq./tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031182_001.pdf,HIGH,GWP value 3.46E+03 converted from kg CO2 eq./tonne to 3460.0.
Steel rope products,Steel & Metal,Usha Martin Limited,4150.0,kg CO2 eq./tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031183_001.pdf,HIGH,The GWP value 4.15E+03 kg CO2 eq. per 1 tonne was converted to 4150.0.
LRPC strands,Steel & Metal,Usha Martin Limited,3170.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031184_001.pdf,HIGH,GWP value 3.17E+03 converted to 3170.0 per 1 tonne declared unit.
Desking (Representative product: Conference & Meeting Table - Mingle),Other,Interio By Godrej - A division of Godrej & Boyce Manufacturing Company Limited,-13.3,kg CO2 eq,1 piece,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031281_002.pdf,HIGH,"The GWP-total value for A1-A3 is -1.33E+01, which equals -13.3 kg CO2 eq. The declared unit is 1 piece of desking."
Seating (Chairs),Other,Interio By Godrej - A division of Godrej & Boyce Manufacturing Company Limited,124.0,kg CO2 eq,1 piece,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031358_002.pdf,HIGH,GWP value represents GWP-total for A1-A3. The value 1.24E+02 was converted to 124.0.
FLEXIVATE- HEIGHT ADJUSTABLE TABLES,Other,Talin Modular Office Furniture Systems Private Limited,482.0,kg CO2 eq,1 height-adjustable table,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031377_001.pdf,HIGH,GWP-total value for A1-A3 is 4.82E+02. The declared unit is one height-adjustable table.
TMT Bars,Steel & Metal,Steel Authority of India Limited (SAIL),2363,kg CO2 eq/1000 kg,1000 kg,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031470_004.pdf,HIGH,GWP value extracted from GWP-total row for A1-A3 column (2.363E+03). Declared unit is 1 metric tonne (1000 kg).
Storage,Steel & Metal,Interio By Godrej - A division of Godrej & Boyce Manufacturing Company Limited,300.0,kg CO2 eq,1 piece,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031490_002.pdf,HIGH,GWP-total value for A1-A3 is 3.00E+02 (300.0). The EPD covers multiple storage products with Modular KD Storages (Gain Pro) as the representative product.
Healthcare Beds,Other,Interio By Godrej - A division of Godrej & Boyce Manufacturing Company Limited,1070,kg CO2 eq/piece,1 piece,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031496_002.pdf,HIGH,GWP-total value for A1-A3 is 1.07E+03 kg CO2 eq. The declared unit is 1 piece of Healthcare Bed.
TAP® Acoustics Panel,Plastic & Polymer,Times Fibrefill Pvt. Ltd.,5.54,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031770_002.pdf,HIGH,The GWP value is for the 9 mm representative panel.
Gypboard® Effectiv’ Plasterboard,Other,Saint-Gobain India Pvt. Ltd. – Gyproc Business,0.703,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031818_001.pdf,HIGH,"GWP value extracted from the A1-A3 GWP-GHG row in the additional voluntary indicators table, as it represents the standard A1-A3 impact for the declared unit."
Raised Access Floor Panels,Other,PWS Floors LLP,40.3,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0031930_002.pdf,HIGH,GWP-total value for A1-A3 is 4.03E+01 kg CO2 eq/m2.
Windor Modular Single Leaf Single Glazed Style Door System,Other,Windor India Pvt Ltd,91.9,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0032024_001.pdf,HIGH,GWP value represents GWP-fossil for A1-A3. The total GWP (GWP-total) for A1-A3 is 91.4 kg CO2 eq/m2.
Windor Modular Single Leaf Double Glazed Style Door System,Aluminium,Windor India Pvt Ltd,110.0,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0032026_001.pdf,HIGH,GWP-total value for A1-A3 is 1.10E+02 kg CO2 eq/m2.
Windor 48.5mm Thick Laminate Finished Flush Door with Hardware Product,Timber & Wood,Windor India Pvt Ltd,79.2,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0032027_001.pdf,HIGH,GWP-total value for A1-A3 is 7.92E+01 kg CO2 eq/m2.
SGG Mirror on Planilux®,Glass,Saint-Gobain India Pvt. Ltd,13.7,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0032037_001.pdf,HIGH,GWP value for A1-A3 is 1.37E+01 kg CO2 eq/m2.
SGG Mirror on Planilux® 5 mm,Glass,Saint-Gobain India Pvt. Ltd,17.0,kg CO2 eq/m2,1 m2,A1-A3,EPD International AB,2026,2031,India,EPD-IES-0032055_001.pdf,HIGH,GWP value represents Climate Change - total for A1-A3. Declared unit is 1 m2 of 5 mm glass.
SGG Mirror on Planilux®,Glass,Saint-Gobain India Pvt. Ltd,19.6,kg CO2 eq/m2,1 m2,A1-A3,EPD international AB,2026,2031,India,EPD-IES-0032059_001.pdf,HIGH,GWP value represents Climate Change - total for A1-A3. Declared unit is 1 m2 of 6 mm glass.
Gyproc® Fireline 15mm,Other,Saint-Gobain India Pvt. Ltd,6.0,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2022,2027,India,EPD-IES-0006463_001.pdf,HIGH,"GWP value represents Climate Change (total) for A1-A3. Value 6,00E+00 converted to 6.0."
Steel Hot Rolled Coil,Steel & Metal,Tata Steel Limited,2859.6,kg CO2 eq/t,1 tonne,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0006474_001.pdf,HIGH,GWP value represents the total cradle to gate impact (A1-A3) as stated in section 4.8 Interpretation.
Galvalume Steel Product,Steel & Metal,JSW Steel Coated Products Limited (JSWSCPL),3690.0,kg CO2 eq/tonne,1 tonne,A1-A3,The International EPD System,2023,2028,India,EPD-IES-0006484_001.pdf,HIGH,GWP value 3.69E+03 converted from kg CO2 eq/tonne to 3690.0.
Magnetron Coated Glass (SGG PLANILUX®),Glass,Saint-Gobain India Pvt. Ltd,33.7,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0006879_002.pdf,HIGH,GWP value represents the sum of A1-A3 stages (3.37E+01 kg CO2 eq/m2). Declared unit is 1 m2 of 10mm glass.
Austenitic Cold Rolled Annealed Pickled (CRAP) Sheets and Coils,Steel & Metal,Jindal Stainless Limited,5230.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0007804_003.pdf,HIGH,GWP value 5.23E+03 converted from 1 tonne declared unit.
Ductile Iron Pipe (DN 80),Steel & Metal,Jindal SAW Limited,14.4,kg CO2 eq/m,1 m,A1-A3,EPD International AB,2025,2030,India,EPD-IES-0009004_001.pdf,HIGH,GWP value represents GWP-total for A1-A3 as per the environmental performance table.
SGG PLANILUX® 12 mm,Glass,Saint-Gobain India Pvt. Ltd,38.0,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2023,2028,India,EPD-IES-0009214_002.pdf,HIGH,GWP value for A1-A3 is 3.80E+01 kg CO2 eq per 1 m2 functional unit.
VDS® Fixed Partition,Steel & Metal,Saint-Gobain India PVT Ltd. – Vetrotech Business,11.1,kg CO2 eq/m,1 m,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0009224_001.pdf,HIGH,GWP value represents Climate Change (total) for A1-A3. Declared unit is 1 meter of installed partition.
Average Semi-Finished Steel Product,Steel & Metal,Jindal Steel and Power,3140.0,kg CO2 eq/tonne,1 tonne,A1-A3,EPD International AB,2022,2024,India,EPD-IES-0009804_001.pdf,HIGH,GWP value derived from Table 12 (3.14E+03 kg CO2 eq for A1-A3). Declared unit is 1 tonne.
Magnetron coated glass on SGG PARSOL 8 mm,Glass,Saint-Gobain India Private Limited,29.6,kg CO2 eq/m2,1 m2,A1-A3,The International EPD System,2023,2028,India,EPD-IES-0009812_001.pdf,HIGH,GWP value 29.6E+01 is 29.6 kg CO2 eq per 1 m2 based on Table 13 (Climate Change total).
JSP’s Steel Plate & Coil (100% Recycled Scrap),Steel & Metal,Jindal Steel & Power,465.0,kg CO2 eq/metric ton,1 metric ton,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0009818_001.pdf,HIGH,GWP-total value used from the results table for A1-A3. 4.65E+02 = 465.0.
Gyproc® Fire-Resistant & Moisture Resistant Board,Other,Saint-Gobain India Pvt. Ltd.,5.75,kg CO2 eq/m2,1 m2,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0009822_001.pdf,HIGH,GWP value represents Climate Change - total for A1-A3. Declared unit is 1 m2 of installed board.
Steelage Magna Class C Safe,Steel & Metal,GUNNEBO INDIA PVT LTD,1520.0,kg CO2 eq/unit,1 unit,A1-A3,EPD International AB,2023,2028,India,EPD-IES-0011894_001.pdf,HIGH,GWP value 1.52E+03 converted to 1520.0. Declared unit is per safe (unit).
VDS® Curtain Wall,Steel & Metal,Saint-Gobain India PVT Ltd. – Vetrotech Business,18.1,kg CO2 eq/m,1 m,A1-A3,The International EPD® System,2024,2029,India,EPD-IES-0012000_001.pdf,HIGH,GWP value represents Climate Change (fossil) for A1-A3 as 1.81E+01. Declared unit is 1 meter of installed curtain wall.
